Compound,Date,Negative,Neutral,Positive,Text
0.4605,Sat Mar 10 20:28:00 +0000 2018,0.552,0.155,0.293,"RT @bbcrb: This. Is. So. Cute! ?
Who wouldn't love a tiny meal like this! ?? https://t.co/73t4rhbopo"
0.6588,Sat Mar 10 20:27:17 +0000 2018,0.785,0.0,0.215,"RT @BBCScotland: Cathy's been having a great time at the spa! ??

Watch #TwoDoorsDown on @BBCiPlayer - https://t.co/JgbkHFXufb https://t.co…"
0.4106,Sat Mar 10 20:25:58 +0000 2018,0.82,0.0,0.18,"RT @bbcasiannetwork: ? Don't miss a single bit of #AsianNetworkLive? 
Here's how to make sure you catch ALL the action ? https://t.co/AZIif…"
-0.8316,Sat Mar 10 20:24:22 +0000 2018,0.719,0.281,0.0,RT @BBCiPlayer: Police officer Kris was left paralysed after being hit by a van in the Westminster bridge terrorist attack. Seven months la…
0.5267,Sat Mar 10 20:24:07 +0000 2018,0.815,0.0,0.185,"RT @BBCSport: Ireland have been crowned Six Nations champions with a match to spare.

https://t.co/YFyOxSY0Tp #SixNations https://t.co/K34r…"
0.0,Sat Mar 10 18:11:11 +0000 2018,1.0,0.0,0.0,"RT @bbcasiannetwork: ?#AsianNetworkLive is taking over the airwaves tonight!
Catch all the action from
? 6pm on @bbcasiannetwork
? 7pm on @…"
0.0,Sat Mar 10 18:10:57 +0000 2018,1.0,0.0,0.0,"RT @bbcasiannetwork: Which #AsianNetworkLive performance can't you wait for? ? 
? @jaysean
? @JasmineSandlas
? @lottoboyzz_
? @omgAdamSaleh…"
0.0,Sat Mar 10 18:00:13 +0000 2018,1.0,0.0,0.0,?? Glass from the past. https://t.co/stRtHiAGGI
0.0,Sat Mar 10 17:00:18 +0000 2018,1.0,0.0,0.0,"??? A different portrait of black fatherhood. 
? https://t.co/SX1Lbqsss0 https://t.co/WQnNbAfIYK"
-0.7783,Sat Mar 10 16:30:07 +0000 2018,0.37,0.63,0.0,Have we got depression wrong? https://t.co/yFPp67xmxe
0.8805,Sat Mar 10 15:59:11 +0000 2018,0.596,0.0,0.404,"RT @mixital: Enjoying @BBCOne’s Troy? 

Join our new creative challenge &amp; create your own #Troy art! Grab images from our website, make the…"
-0.5411,Sat Mar 10 15:53:39 +0000 2018,0.873,0.127,0.0,"RT @BBCWales: 'Feel the fear and do it anyway'

That's Dilys's motto, and she's the @GWR holder for the Oldest Woman Skydiver in the world!…"
0.1511,Sat Mar 10 15:32:03 +0000 2018,0.91,0.0,0.09,"?? The robots are coming! 

And this time they want to design and assemble your furniture. ? https://t.co/naCu7LJ0Mf"
-0.3818,Sat Mar 10 15:00:05 +0000 2018,0.89,0.11,0.0,??? The pine marten has emerged as an unlikely ally for the beleaguered native red squirrel in its battle with the… https://t.co/aaJ1XuLJ78
0.0,Sat Mar 10 14:00:08 +0000 2018,1.0,0.0,0.0,? Do you know how many calories were in your lunch?https://t.co/ouomQAA92I
-0.5859,Sat Mar 10 13:14:03 +0000 2018,0.769,0.231,0.0,"Hindered by short-term memory loss, a man struggles to piece his life back together after his wife's murder.… https://t.co/IDASykaROO"
-0.4588,Sat Mar 10 13:00:04 +0000 2018,0.25,0.75,0.0,"Heartbreaking. 
https://t.co/W8GJNKq8rm"
0.4926,Sat Mar 10 13:00:03 +0000 2018,0.653,0.0,0.347,?? @GordonRamsay's daughter got him good! https://t.co/0dqwntX5uj
0.3724,Sat Mar 10 13:00:03 +0000 2018,0.758,0.0,0.242,"??? We're not crying... you're crying. 
#TheSilentChild #Oscars https://t.co/ienD3dDtKX"
-0.5859,Sat Mar 10 13:00:03 +0000 2018,0.667,0.26,0.073,? Baptism at this church can be a matter of life and death. https://t.co/aEsVqMUPQ2
