Compound,Date,Negative,Neutral,Positive,Text
-0.6908,Tue Mar 13 06:44:40 +0000 2018,0.802,0.198,0.0,"Novichok, the substance used in the attempted murder of Russian ex-spy Sergei Skripal and his daughter Yulia, is no… https://t.co/5rPYr3QEge"
0.6249,Tue Mar 13 06:31:07 +0000 2018,0.779,0.0,0.221,"Lead exposure may be responsible for nearly 10 times more deaths in the United States than previously thought, acco… https://t.co/wpSRNmWIgJ"
0.0,Tue Mar 13 06:29:26 +0000 2018,1.0,0.0,0.0,"There is an arrow hidden in the FedEx logo. (If you've never noticed it, prepare to be blown away.)

Hidden designs… https://t.co/R1CAT4P7Qu"
0.5719,Tue Mar 13 06:08:00 +0000 2018,0.651,0.084,0.264,"""Canadian aluminum is in your fighter jets, Canadian steel is in your tanks. There is no better security partner in… https://t.co/NyUNIe7fSr"
0.7964,Tue Mar 13 06:06:08 +0000 2018,0.679,0.0,0.321,From the GOP with love -- Trump gets gift from Russia panel | Analysis by @StCollinson https://t.co/aDSq99ROys https://t.co/BW0kjuiMpN
0.0,Tue Mar 13 06:01:04 +0000 2018,1.0,0.0,0.0,"A new purported military video of an unidentified aircraft has been made public, following the Pentagon's acknowled… https://t.co/NdNwdLAFel"
0.5859,Tue Mar 13 05:46:05 +0000 2018,0.817,0.0,0.183,"A Powerball winner is allowed to stay anonymous while collecting her $560 million jackpot, a New Hampshire judge ha… https://t.co/RXcFXEWdzU"
0.2732,Tue Mar 13 05:31:05 +0000 2018,0.846,0.0,0.154,"""To call the interview peculiar is an understatement,"" CNN legal analyst Jeffrey Toobin writes about a 2006 O.J. Si… https://t.co/39THoBo0l1"
0.0,Tue Mar 13 05:30:15 +0000 2018,1.0,0.0,0.0,US starts to prep for North Korea summit even as Pyongyang remains silent https://t.co/Vyl2o1mGe1 https://t.co/sQxpOaGqUq
-0.2732,Tue Mar 13 05:16:05 +0000 2018,0.717,0.183,0.1,"One can get nostalgic and feel a loss when stores like Toys 'R' Us struggle, writes Kara Alaimo via @CNNOpinion. Bu… https://t.co/gHO4kyQoFD"
-0.5423,Tue Mar 13 05:08:03 +0000 2018,0.788,0.212,0.0,Actress Lynda Carter recounts alleged harassment on 'Wonder Woman' TV show set https://t.co/7UIcBiXeZ6 https://t.co/l6QHsGwQtQ
0.4019,Tue Mar 13 05:01:03 +0000 2018,0.87,0.0,0.13,"""The special counsel is not an unguided missile."" In an interview, Deputy Attorney General Rod Rosenstein offered f… https://t.co/qPrRZ0KTwY"
0.34,Tue Mar 13 04:55:03 +0000 2018,0.882,0.0,0.118,Hillary Clinton told a receptive audience in India that while she thought President Donald Trump played to some of… https://t.co/9q4vjI55xO
0.7184,Tue Mar 13 04:46:00 +0000 2018,0.662,0.077,0.261,"This Waffle House waitress took time to cut an elderly customer's ham, and the kind act won her a college scholarsh… https://t.co/r0s0Pq2hnV"
